,NormMSE,Pearson,Spearman,split
MED9+ctrl,0.07827826,0.97817105,0.9578947368421054,1
RPL10A+ctrl,0.058165897,0.9731054,0.9879699248120299,1
EIF1AX+ctrl,0.37589514,0.80421007,0.9894736842105263,1
POP7+ctrl,6.9118013,0.4969232,0.9879699248120299,1
MED10+ctrl,0.24070266,0.9829329,0.993984962406015,1
PSMC4+ctrl,0.10160412,0.99535,0.9203007518796992,1
CNOT3+ctrl,0.48375538,0.76173174,0.8857142857142858,1
ELP5+ctrl,0.74955595,0.7272419,0.9759398496240601,1
RPS6+ctrl,0.025810635,0.9846406,0.9842105263157893,1
MTOR+ctrl,0.5964251,0.80973184,0.9142857142857143,1
PRPF40A+ctrl,1.0623306,0.025770295,0.9774436090225563,1
SLU7+ctrl,0.33839813,0.9721921,0.9804511278195487,1
SLC7A5+ctrl,1.5358733,0.77838933,0.9849624060150375,1
RPS27+ctrl,0.07398103,0.8161575,0.9859649122807018,1
U2SURP+ctrl,1.4263376,-0.43775526,0.8508771929824561,1
C1QBP+ctrl,0.34417716,0.8507188,0.9849624060150375,1
PCF11+ctrl,1.1977897,0.12133668,0.9819548872180449,1
SERBP1+ctrl,1.3470927,-0.19804603,0.9804511278195487,1
ABCB7+ctrl,1.8177745,0.78065765,0.9834586466165413,1
MAK16+ctrl,0.9259197,0.611464,0.9699248120300751,1
ZCCHC9+ctrl,0.23751079,0.8290145,0.9744360902255638,1
LAMTOR4+ctrl,1.372599,-0.12103198,0.9789473684210527,1
ACTL6A+ctrl,0.98441917,-0.06007199,0.9142857142857143,1
BUB3+ctrl,0.61515784,0.63148487,0.8541353383458646,1
SAMM50+ctrl,0.36822876,0.8196766,0.9819548872180449,1
ALG2+ctrl,0.44783854,0.5679733,0.9804511278195487,1
RPS19+ctrl,0.051690973,0.9601801,0.9518796992481202,1
MCM4+ctrl,0.17617314,0.9004592,0.9879699248120299,1
PSMD11+ctrl,0.08447811,0.96586436,0.9849624060150375,1
PSMB7+ctrl,0.24460259,0.9734601,0.9834586466165413,1
DYNLL1+ctrl,1.3247586,0.15888292,0.9631578947368421,1
COG2+ctrl,0.31465787,0.83774596,0.9879699248120299,1
RPLP2+ctrl,0.23733975,0.87935853,0.9804511278195487,1
LSM5+ctrl,0.24685882,0.9634846,0.9804511278195487,1
DPH2+ctrl,1.6780491,0.035241187,0.9789473684210527,1
TCOF1+ctrl,1.1262735,0.45356756,0.9774436090225563,1
SART1+ctrl,1.07787,-0.49051777,0.9909774436090225,1
CWF19L2+ctrl,0.068901256,0.96039504,0.9774436090225563,1
BGLAP+ctrl,0.49109244,0.36835486,0.9398496240601503,1
TCERG1+ctrl,0.51685184,0.6988021,0.9503759398496241,1
SUGT1+ctrl,0.9379042,0.12549725,0.9669172932330825,1
MZT1+ctrl,1.4364,0.13818732,0.9248120300751879,1
LSM7+ctrl,0.03344126,0.9875333,0.9909774436090225,1
NFRKB+ctrl,0.21071734,0.8379147,0.9924812030075187,1
SRPRB+ctrl,0.29239422,0.7609112,0.9834586466165413,1
RPS11+ctrl,0.045479085,0.9924071,0.987719298245614,1
RPL21+ctrl,0.101074666,0.9897852,0.9834586466165413,1
PHAX+ctrl,0.34276772,0.62035364,0.9428571428571428,1
LSM2+ctrl,0.14925414,0.9852568,0.9984962406015038,1
ATP6V1A+ctrl,0.098546416,0.90607876,0.9804511278195487,1
RPS28+ctrl,0.072082,0.90738076,0.9428571428571428,1
GAB2+ctrl,0.9374181,0.17939924,0.6105263157894737,1
MAGOH+ctrl,0.8999031,0.46078622,0.8962406015037594,1
U2AF1+ctrl,0.58785963,0.89831597,0.9142857142857143,1
PRPF4+ctrl,0.24858184,0.78008384,0.9834586466165413,1
ORC5+ctrl,0.507919,0.8140578,0.9488721804511278,1
SMN2+ctrl,0.7743423,0.7499916,0.9293233082706768,1
ANKRD11+ctrl,2.004043,-0.39204472,0.9443609022556391,1
CCDC86+ctrl,1.3804471,-0.42150393,0.9533834586466164,1
MRPL51+ctrl,0.15625496,0.9606749,0.9969924812030074,1
EXOSC9+ctrl,0.26342526,0.9601763,0.9650245135253144,1
TRMT10C+ctrl,0.4299556,0.7745058,0.9924812030075187,1
EIF2B5+ctrl,0.28362697,0.95914865,0.875187969924812,1
KPNB1+ctrl,0.24635044,0.9063997,0.956390977443609,1
DDX55+ctrl,0.35266712,0.8756457,0.9879699248120299,1
FNTA+ctrl,0.55344313,0.67483926,0.9759398496240601,1
MRPL16+ctrl,0.17976576,0.9156988,0.9909774436090225,1
DHDDS+ctrl,1.1778672,0.20874542,0.8766917293233082,1
POLD3+ctrl,0.06480688,0.96314603,0.993984962406015,1
POLR2D+ctrl,0.082740925,0.95881975,0.9804511278195487,1
DYNC1H1+ctrl,0.644022,0.1768907,0.9684210526315788,1
ZNF574+ctrl,0.83127123,0.37064433,0.9849624060150375,1
CCT6A+ctrl,0.09266251,0.9693467,0.9774436090225563,1
TARS+ctrl,0.091184095,0.9491784,0.980701754385965,1
WBP11+ctrl,1.4153059,-0.43272328,0.9278195488721804,1
MED20+ctrl,0.22682776,0.960079,0.9909774436090225,1
WDR12+ctrl,0.8905092,0.30149868,0.9609022556390976,1
NOP2+ctrl,0.24073121,0.9404893,0.9924812030075187,1
CCDC59+ctrl,0.26743242,0.5595375,0.9669172932330825,1
NIFK+ctrl,0.531355,0.694501,0.9684210526315788,1
HAUS4+ctrl,1.8536057,-0.67378396,0.9353383458646616,1
DDX54+ctrl,0.21892549,0.8821131,0.9729323308270676,1
CASP8AP2+ctrl,1.3374307,-0.19305739,0.8902255639097743,1
