,NormMSE,Pearson,Spearman,split,Method
K562(?)_SARS+ctrl_1+1,0.3710331916809082,0.9103490422130562,0.8345864661654135,2,Biolord
K562(?)_SRP68+ctrl_1+1,0.15944939851760864,0.9201271985657513,0.9984962406015038,2,Biolord
K562(?)_STT3A+ctrl_1+1,0.01276945136487484,0.9944868497550488,0.9984962406015038,2,Biolord
K562(?)_TMED2+ctrl_1+1,0.22685332596302032,0.8455220350733725,1.0,2,Biolord
K562(?)_TTI2+ctrl_1+1,0.04005684703588486,0.9841993171394279,0.9984962406015038,2,Biolord
K562(?)_UFL1+ctrl_1+1,0.035428233444690704,0.9823219727259129,1.0,2,Biolord
K562(?)_AARS+ctrl_1+1,0.13638609647750854,0.976225474034436,0.9127819548872179,3,Biolord
K562(?)_ARHGAP22+ctrl_1+1,0.25670918822288513,0.913097269483842,0.9533834586466164,3,Biolord
K562(?)_ASCC3+ctrl_1+1,0.2824060320854187,0.8616102878004313,0.9924812030075187,3,Biolord
K562(?)_ATP5B+ctrl_1+1,0.6242547631263733,0.5975239463150501,0.8977443609022555,3,Biolord
K562(?)_COPZ1+ctrl_1+1,0.2758496105670929,0.900874218379613,0.9609022556390976,3,Biolord
K562(?)_DDIT3+ctrl_1+1,1.0267912149429321,0.005483452812768519,0.9624060150375938,3,Biolord
K562(?)_DNAJC19+ctrl_1+1,0.16927823424339294,0.9278398735914379,0.9909774436090225,3,Biolord
K562(?)_EIF2B2+ctrl_1+1,0.2984229028224945,0.9520381719339639,0.9127819548872179,3,Biolord
K562(?)_EIF2B3+ctrl_1+1,0.48211896419525146,0.9132223322521895,0.8406015037593983,3,Biolord
K562(?)_EIF2B4+ctrl_1+1,0.34000080823898315,0.9403937493916601,0.9398496240601503,3,Biolord
K562(?)_FARSB+ctrl_1+1,0.08281504362821579,0.9584016865119338,0.9894736842105262,3,Biolord
K562(?)_GBF1+ctrl_1+1,0.09241607785224915,0.9917665384709835,0.9774436090225563,3,Biolord
K562(?)_MARS+ctrl_1+1,0.6981734037399292,0.7083802359447873,0.8917293233082706,3,Biolord
K562(?)_MRGBP+ctrl_1+1,0.2673751413822174,0.9486780320294201,0.9578947368421054,3,Biolord
K562(?)_MTHFD1+ctrl_1+1,0.5059986710548401,0.7925904365838505,0.8571428571428572,3,Biolord
K562(?)_P4HB+ctrl_1+1,0.211960107088089,0.8708406330115395,1.0,3,Biolord
K562(?)_SEC63+ctrl_1+1,0.1443149745464325,0.8979082263704186,0.9984962406015038,3,Biolord
K562(?)_SOCS1+ctrl_1+1,0.2075294852256775,0.9528987124795094,0.9834586466165413,3,Biolord
K562(?)_SRP68+ctrl_1+1,0.16675852239131927,0.9221946707111783,0.9969924812030074,3,Biolord
K562(?)_TMED2+ctrl_1+1,0.26115772128105164,0.8317798092939483,1.0,3,Biolord
K562(?)_TTI2+ctrl_1+1,0.0523555688560009,0.975785164955596,1.0,3,Biolord
K562(?)_AARS+ctrl_1+1,0.16901761293411255,0.9774659199174494,0.8917293233082706,4,Biolord
K562(?)_ARHGAP22+ctrl_1+1,0.21437402069568634,0.9287533204769716,0.9593984962406013,4,Biolord
K562(?)_ATP5B+ctrl_1+1,0.6341924071311951,0.5927330213598907,0.8962406015037594,4,Biolord
K562(?)_COPB1+ctrl_1+1,0.10453999787569046,0.9741859901696444,0.993984962406015,4,Biolord
K562(?)_EIF2B3+ctrl_1+1,0.18698261678218842,0.9717017444781959,0.9308270676691727,4,Biolord
K562(?)_IER3IP1+ctrl_1+1,0.4078778326511383,0.8838867396116257,0.9518796992481202,4,Biolord
K562(?)_MARS+ctrl_1+1,0.7098894119262695,0.6788261937908828,0.8857142857142858,4,Biolord
K562(?)_P4HB+ctrl_1+1,0.18997319042682648,0.8679163046617759,1.0,4,Biolord
K562(?)_PPWD1+ctrl_1+1,0.234218567609787,0.9242340925720782,0.9879699248120299,4,Biolord
K562(?)_SAMM50+ctrl_1+1,0.13685011863708496,0.9616334247402847,0.9684210526315788,4,Biolord
K562(?)_SCYL1+ctrl_1+1,0.3412887752056122,0.9044736148789525,0.9593984962406013,4,Biolord
K562(?)_SEC61G+ctrl_1+1,0.3446730077266693,0.8442739694437478,0.9488721804511278,4,Biolord
K562(?)_SEL1L+ctrl_1+1,0.1538824886083603,0.9313369891606271,0.9729323308270676,4,Biolord
K562(?)_SLC35B1+ctrl_1+1,0.18236814439296722,0.9263447212579194,0.9954887218045112,4,Biolord
K562(?)_SPCS2+ctrl_1+1,0.4424404799938202,0.7369189296323384,0.993984962406015,4,Biolord
K562(?)_TELO2+ctrl_1+1,0.161823108792305,0.8354582996107638,0.9984962406015038,4,Biolord
K562(?)_TMED2+ctrl_1+1,0.28114554286003113,0.8561039853595958,0.9969924812030074,4,Biolord
K562(?)_TMED10+ctrl_1+1,0.1887200027704239,0.9020553039445076,0.9984962406015038,4,Biolord
K562(?)_TTI2+ctrl_1+1,0.06884397566318512,0.9767516220945254,1.0,4,Biolord
K562(?)_UFL1+ctrl_1+1,0.06820522993803024,0.9761344097787514,0.9984962406015038,4,Biolord
K562(?)_YIPF5+ctrl_1+1,0.14961661398410797,0.959602591698058,0.9819548872180449,4,Biolord
K562(?)_CCND3+ctrl_1+1,0.3729141652584076,0.8516927429009229,0.9834586466165413,5,Biolord
K562(?)_CHERP+ctrl_1+1,0.356682687997818,0.8686574716120958,0.9248120300751879,5,Biolord
K562(?)_COPB1+ctrl_1+1,0.07749652117490768,0.9680355861783028,0.9909774436090225,5,Biolord
K562(?)_DDOST+ctrl_1+1,0.3135189712047577,0.8863267031265423,0.9909774436090225,5,Biolord
K562(?)_DDRGK1+ctrl_1+1,0.23000569641590118,0.8948917820248425,0.9954887218045112,5,Biolord
K562(?)_DHDDS+ctrl_1+1,0.686292827129364,0.6322792490245774,0.9142857142857143,5,Biolord
K562(?)_GMPPB+ctrl_1+1,0.0999736562371254,0.9716328216111378,0.9894736842105262,5,Biolord
K562(?)_HSD17B12+ctrl_1+1,0.2912695109844208,0.9245348051190376,0.9774436090225563,5,Biolord
K562(?)_NEDD8+ctrl_1+1,0.5894457101821899,0.6916014174930751,0.8766917293233082,5,Biolord
K562(?)_P4HB+ctrl_1+1,0.5454118847846985,0.7963030736427754,0.9969924812030074,5,Biolord
K562(?)_PSMD4+ctrl_1+1,0.7378432154655457,0.6688847203040496,0.9142857142857143,5,Biolord
K562(?)_SEC61A1+ctrl_1+1,0.3443032205104828,0.9084202100057155,0.825563909774436,5,Biolord
K562(?)_SEL1L+ctrl_1+1,0.24512320756912231,0.906314715379267,0.9699248120300751,5,Biolord
K562(?)_SPCS2+ctrl_1+1,0.301059752702713,0.7435098357809693,0.993984962406015,5,Biolord
K562(?)_SPCS3+ctrl_1+1,0.19749948382377625,0.9115783241577446,0.9894736842105262,5,Biolord
K562(?)_SRPRB+ctrl_1+1,0.2536778151988983,0.9356700915232068,0.9849624060150375,5,Biolord
K562(?)_TMEM167A+ctrl_1+1,0.2866291403770447,0.9312347434461117,0.9593984962406013,5,Biolord
K562(?)_TTI1+ctrl_1+1,0.26754260063171387,0.9529213625355624,0.9639097744360902,5,Biolord
K562(?)_TTI2+ctrl_1+1,0.10075801610946655,0.9798124023509445,0.9984962406015038,5,Biolord
K562(?)_UFM1+ctrl_1+1,0.21451014280319214,0.9350220098803561,0.9894736842105262,5,Biolord
K562(?)_XRN1+ctrl_1+1,0.13234424591064453,0.9718166103848489,0.9774436090225563,5,Biolord
CREB1,1.8947335481643677,-0.8878664997173473,0.9218045112781955,1,Gears
BHLHE40,1.7180644273757935,-0.8690168524044566,0.9218045112781955,1,Gears
DDIT3,1.81813645362854,-0.8932961223763414,0.9503759398496241,1,Gears
HARS,0.22553463280200958,0.9852043424034491,0.9203007518796992,1,Gears
DAD1,0.5085849165916443,0.6274657717221999,0.993984962406015,1,Gears
DDRGK1,0.2481282651424408,0.8575918257449757,0.993984962406015,1,Gears
SAMM50,0.15161919593811035,0.9647076509427279,0.9714285714285714,1,Gears
CAD,0.5484611988067627,0.7927797938464209,0.9518796992481202,1,Gears
GNPNAT1,0.18805578351020813,0.9359842252888484,0.9984962406015038,1,Gears
TTI2,0.18374188244342804,0.958673253415327,0.9984962406015038,1,Gears
MANF,0.20055927336215973,0.918349975365345,0.9984962406015038,1,Gears
TARS,0.5289573073387146,0.6921791220083833,0.9699248120300751,1,Gears
EIF2B2,0.05370091274380684,0.9793825836386532,0.9924812030075187,1,Gears
ARHGAP22,0.185993954539299,0.920942016877234,0.9714285714285714,1,Gears
SRP72,0.3755951523780823,0.8066528827148431,0.9954887218045112,1,Gears
TMED10,0.22920656204223633,0.8867813573306194,0.9969924812030074,1,Gears
COPB1,0.19986455142498016,0.9221606471110135,0.9909774436090225,1,Gears
FECH,0.08120979368686676,0.9577275507399463,0.9924812030075187,1,Gears
DHDDS,0.7624715566635132,0.5160291732172482,0.8962406015037594,1,Gears
CARS,0.4413757622241974,0.9669407610781491,0.8240601503759398,1,Gears
TMED2,0.28295236825942993,0.8219864709017202,0.993984962406015,1,Gears
BHLHE40,1.7018390893936157,-0.8934174221940339,0.9263157894736842,2,Gears
OST4,0.44313299655914307,0.6577979671928915,0.9954887218045112,2,Gears
EIF2B4,0.12640364468097687,0.9664178262464702,0.9684210526315788,2,Gears
IARS2,0.321354478597641,0.9502151175402105,0.8857142857142858,2,Gears
UFL1,0.04809612035751343,0.9812516520614736,0.9954887218045112,2,Gears
QARS,0.6875973343849182,0.7790478592505679,0.8180451127819548,2,Gears
STT3A,0.04528094083070755,0.9836533177876845,1.0,2,Gears
MRGBP,0.1646551936864853,0.9556982007343322,0.9834586466165413,2,Gears
TTI2,0.10677806288003922,0.9635316220081904,0.9984962406015038,2,Gears
NEDD8,0.6006077527999878,0.6934225491713732,0.8721804511278194,2,Gears
MRPL39,0.2030307799577713,0.8990425584488548,0.9203007518796992,2,Gears
MANF,0.21096286177635193,0.8726522059223498,1.0,2,Gears
MARS,0.7228216528892517,0.5676407522987574,0.9112781954887217,2,Gears
EIF2B2,0.16385455429553986,0.9679764884058386,0.9428571428571428,2,Gears
SARS,0.5841941237449646,0.7539272430585697,0.8165413533834586,2,Gears
HSPA5,0.7083864212036133,0.8316198252141476,0.7233082706766917,2,Gears
PSMD4,0.7101078629493713,0.7002777875459287,0.9248120300751879,2,Gears
SRP68,0.1943017989397049,0.9121644431725144,0.993984962406015,2,Gears
DDOST,0.27106067538261414,0.8599327497649938,0.9879699248120299,2,Gears
CCND3,0.34047451615333557,0.8758264826610684,0.9849624060150375,2,Gears
TMED2,0.2742265462875366,0.8379268530898116,0.9969924812030074,2,Gears
DDIT3,1.578468918800354,-0.7553127931896597,0.9503759398496241,3,Gears
EIF2B4,0.43467479944229126,0.8749626685748808,0.9293233082706768,3,Gears
SOCS1,0.21386566758155823,0.9195565545887803,0.993984962406015,3,Gears
MRGBP,0.16958533227443695,0.9667983592953533,0.9834586466165413,3,Gears
ATP5B,0.6370732188224792,0.5785679137334228,0.9203007518796992,3,Gears
MTHFD1,0.40582114458084106,0.8021608341368847,0.9218045112781955,3,Gears
TTI2,0.060472652316093445,0.9824326408984234,1.0,3,Gears
GBF1,0.02538398653268814,0.9915174614870921,0.9969924812030074,3,Gears
FARSB,0.3310837745666504,0.9405394587665796,0.9233082706766916,3,Gears
SEC63,0.2187499701976776,0.9112509810283882,1.0,3,Gears
MARS,0.6945213079452515,0.6393344413954765,0.9142857142857143,3,Gears
ASCC3,0.2737458646297455,0.8682210162514821,0.9924812030075187,3,Gears
EIF2B2,0.6075111627578735,0.7321861493401229,0.8992481203007519,3,Gears
ARHGAP22,0.15325649082660675,0.9392738240203471,0.9864661654135337,3,Gears
SRP68,0.18456289172172546,0.9232545614650007,0.9969924812030074,3,Gears
AARS,0.39280828833580017,0.9638490279485268,0.8165413533834586,3,Gears
COPZ1,0.29510271549224854,0.8680359851568937,0.9804511278195487,3,Gears
EIF2B3,0.6939009428024292,0.6627456180285662,0.825563909774436,3,Gears
DNAJC19,0.21720510721206665,0.906932882964611,0.9849624060150375,3,Gears
TMED2,0.28257206082344055,0.8444985705982617,0.9969924812030074,3,Gears
P4HB,0.2083735316991806,0.8650613899662858,1.0,3,Gears
IER3IP1,0.3696150779724121,0.8590685520321131,0.9518796992481202,4,Gears
YIPF5,0.22045619785785675,0.9275135828647763,0.9834586466165413,4,Gears
UFL1,0.08031179755926132,0.9660715143545531,0.9954887218045112,4,Gears
SAMM50,0.13296599686145782,0.9550765939056873,0.9759398496240601,4,Gears
SEL1L,0.19964134693145752,0.9283925342606381,0.9684210526315788,4,Gears
ATP5B,0.6265726685523987,0.6010514432564378,0.9037593984962405,4,Gears
TTI2,0.08515891432762146,0.9683785308479855,0.9984962406015038,4,Gears
TELO2,0.13557113707065582,0.9053423063160153,0.9984962406015038,4,Gears
MARS,0.6495821475982666,0.6581696921493858,0.9097744360902256,4,Gears
ARHGAP22,0.1378171741962433,0.9321176875382662,0.9864661654135337,4,Gears
SCYL1,0.27472397685050964,0.9139775559306145,0.9759398496240601,4,Gears
