,NormMSE,Pearson,Spearman,split
ELK1+ctrl,2.6791537,-0.56650347,0.9819548872180449,1
YY1+ctrl,0.5283596,0.845303,0.9699248120300751,1
OGG1+ctrl,1.0003206,0.053914346,0.7443609022556391,1
AURKA+ctrl,0.012275831,0.9920043,0.9924812030075187,1
CREB1+ctrl,1.2880754,-0.734334,0.9458646616541352,2
ELF1+ctrl,0.20601326,0.9375337,0.9954887218045112,2
CIT+ctrl,0.0133921895,0.9966241,0.9984962406015038,2
AURKC+ctrl,0.04333466,0.995072,0.9909774436090225,2
GABPA+ctrl,8.507913,-0.9515374,0.7187969924812029,3
IRF1+ctrl,0.652099,0.6691236,0.9729323308270676,3
CENPE+ctrl,0.08214057,0.99560565,0.9774436090225563,3
AURKB+ctrl,0.0044218358,0.9974855,0.9894736842105262,3
ELK1+ctrl,2.1870894,-0.24726525,0.9834586466165413,4
YY1+ctrl,1.6984992,-0.4953633,0.9413533834586465,4
CENPE+ctrl,0.10221737,0.99578565,0.9849624060150375,4
TOR1AIP1+ctrl,0.15226233,0.99521095,0.9789473684210527,4
GABPA+ctrl,6.6248403,-0.9619059,0.732330827067669,5
IRF1+ctrl,0.60739005,0.74194473,0.9669172932330825,5
OGG1+ctrl,0.61290264,0.9641861,0.8947368421052632,5
ECT2+ctrl,0.5348222,0.9806584,0.9052631578947368,5
IRF1+ctrl,0.68697965,0.6335209,0.9774436090225563,6
E2F4+ctrl,0.17669094,0.96536815,0.993984962406015,6
ECT2+ctrl,0.5840016,0.97400093,0.8977443609022555,6
AURKB+ctrl,0.16573253,0.99665713,0.9729323308270676,6
GABPA+ctrl,6.4000645,-0.9598494,0.7473684210526315,7
IRF1+ctrl,1.6709743,-0.8754649,0.9082706766917292,7
E2F4+ctrl,0.72604877,0.77612984,0.9894736842105262,7
RACGAP1+ctrl,0.19634317,0.9953009,0.9338345864661652,7
YY1+ctrl,2.0106988,-0.6493629,0.9368421052631578,8
ECT2+ctrl,0.52797693,0.98092735,0.9022556390977443,8
AURKC+ctrl,0.11479807,0.99713254,0.9804511278195487,8
AURKB+ctrl,0.15645897,0.9960403,0.9669172932330825,8
ELK1+ctrl,2.3522274,-0.36059833,0.9834586466165413,9
E2F4+ctrl,0.90548223,0.24242935,0.9804511278195487,9
YY1+ctrl,2.136402,-0.60117817,0.9368421052631578,9
EGR1+ctrl,0.9588298,0.11341214,0.9488721804511278,9
ELK1+ctrl,2.8768034,-0.67650145,0.9789473684210527,10
E2F4+ctrl,1.4907109,-0.92554975,0.9413533834586465,10
EGR1+ctrl,0.7150117,0.3513902,0.9593984962406013,10
TOR1AIP1+ctrl,0.36976075,0.99068594,0.9458646616541352,10
