,NormMSE,Pearson,Spearman,split
ELK1+ctrl,1.072607,0.057917118,0.9849624060150375,1
YY1+ctrl,0.37954825,0.879073,0.9819548872180449,1
OGG1+ctrl,0.82535183,0.90687627,0.8556390977443609,1
AURKA+ctrl,0.0043569827,0.99764705,0.9819548872180449,1
CREB1+ctrl,0.45259574,0.9198499,0.9954887218045112,2
ELF1+ctrl,0.5265167,0.8919331,0.9894736842105262,2
CIT+ctrl,0.0031985128,0.9980452,0.9909774436090225,2
AURKC+ctrl,0.07157335,0.9953992,0.9879699248120299,2
GABPA+ctrl,4.9325233,-0.94490427,0.7969924812030074,3
IRF1+ctrl,0.52519965,0.79795367,0.9729323308270676,3
CENPE+ctrl,0.0043204958,0.99799746,0.9924812030075187,3
AURKB+ctrl,0.020100946,0.9986516,0.9909774436090225,3
ELK1+ctrl,0.58725154,0.60039634,0.9864661654135337,4
YY1+ctrl,0.9701267,0.13981465,0.9609022556390976,4
CENPE+ctrl,0.0015862185,0.99912196,1.0,4
TOR1AIP1+ctrl,0.3657382,0.9955085,0.9458646616541352,4
GABPA+ctrl,3.3853092,-0.92720395,0.8616541353383457,5
IRF1+ctrl,0.54102105,0.92088616,0.9759398496240601,5
OGG1+ctrl,0.68442196,0.9609017,0.8661654135338346,5
ECT2+ctrl,0.5420832,0.98619026,0.9067669172932331,5
IRF1+ctrl,0.526054,0.893637,0.9849624060150375,6
E2F4+ctrl,0.35837317,0.95601565,0.993984962406015,6
ECT2+ctrl,0.41987398,0.99263537,0.9263157894736842,6
AURKB+ctrl,0.119944856,0.9975353,0.9789473684210527,6
GABPA+ctrl,3.8440979,-0.92547095,0.8466165413533834,7
IRF1+ctrl,1.0782763,-0.27158466,0.9503759398496241,7
E2F4+ctrl,0.73403454,0.7379319,0.9819548872180449,7
RACGAP1+ctrl,0.1577234,0.9953386,0.9473684210526315,7
YY1+ctrl,0.88113064,0.3021529,0.9578947368421054,8
ECT2+ctrl,0.33940727,0.99215287,0.9443609022556391,8
AURKC+ctrl,0.13037114,0.99637544,0.9819548872180449,8
AURKB+ctrl,0.05999025,0.99658024,0.9819548872180449,8
ELK1+ctrl,0.9137101,0.40759254,0.9909774436090225,9
E2F4+ctrl,0.4663695,0.8720567,0.9879699248120299,9
YY1+ctrl,1.0492435,0.16772574,0.9578947368421054,9
EGR1+ctrl,0.7499546,0.48186535,0.9593984962406013,9
ELK1+ctrl,1.9523566,-0.34696344,0.9819548872180449,10
E2F4+ctrl,1.1707352,-0.3982873,0.9578947368421054,10
EGR1+ctrl,0.5002313,0.8032763,0.9684210526315788,10
TOR1AIP1+ctrl,0.53845966,0.96696335,0.9278195488721804,10
