,NormMSE,Pearson,Spearman,split
ELK1+ctrl,0.9162593,0.29249856,0.9819548872180449,1
YY1+ctrl,0.45318753,0.8465366,0.9744360902255638,1
OGG1+ctrl,0.65363187,0.95131767,0.8691729323308269,1
AURKA+ctrl,0.0061508934,0.9960847,0.9909774436090225,1
CREB1+ctrl,0.39278328,0.9387316,0.9924812030075187,2
ELF1+ctrl,1.3601006,-0.7307309,0.9578947368421054,2
CIT+ctrl,0.0073078806,0.997578,0.9969924812030074,2
AURKC+ctrl,0.06514046,0.9958867,0.9864661654135337,2
GABPA+ctrl,5.713371,-0.95994717,0.7789473684210525,3
IRF1+ctrl,0.77505976,0.55849665,0.9744360902255638,3
CENPE+ctrl,0.0064205527,0.9974648,0.9969924812030074,3
AURKB+ctrl,0.012804988,0.99830323,0.993984962406015,3
ELK1+ctrl,0.24364857,0.8944225,0.993984962406015,4
YY1+ctrl,0.783809,0.59798795,0.9714285714285714,4
CENPE+ctrl,0.008270284,0.99792963,0.993984962406015,4
TOR1AIP1+ctrl,0.40310308,0.9905049,0.9443609022556391,4
GABPA+ctrl,3.5885084,-0.94746524,0.837593984962406,5
IRF1+ctrl,0.5812733,0.770601,0.9669172932330825,5
OGG1+ctrl,0.6200825,0.97350514,0.8947368421052632,5
ECT2+ctrl,0.5698192,0.9834302,0.9052631578947368,5
IRF1+ctrl,0.5773766,0.81068164,0.9804511278195487,6
E2F4+ctrl,0.2820709,0.96134293,0.993984962406015,6
ECT2+ctrl,0.43128905,0.99277836,0.9263157894736842,6
AURKB+ctrl,0.10556987,0.9980949,0.9789473684210527,6
GABPA+ctrl,3.8013048,-0.9298263,0.8466165413533834,7
IRF1+ctrl,1.2495567,-0.60963464,0.9353383458646616,7
E2F4+ctrl,0.83674365,0.54368424,0.9819548872180449,7
RACGAP1+ctrl,0.18294832,0.9961116,0.9398496240601503,7
YY1+ctrl,0.7374101,0.65427184,0.9654135338345864,8
ECT2+ctrl,0.37213147,0.9959081,0.932330827067669,8
AURKC+ctrl,0.15175912,0.99722517,0.9759398496240601,8
AURKB+ctrl,0.08718346,0.9980744,0.9834586466165413,8
ELK1+ctrl,0.6513721,0.6762315,0.9894736842105262,9
E2F4+ctrl,0.4928879,0.9322706,0.9894736842105262,9
YY1+ctrl,0.90298235,0.43114567,0.9624060150375938,9
EGR1+ctrl,0.6716835,0.70808077,0.9609022556390976,9
ELK1+ctrl,3.3738685,-0.61788356,0.9789473684210527,10
E2F4+ctrl,1.6168045,-0.8326398,0.9518796992481202,10
EGR1+ctrl,0.86752874,0.22005597,0.9609022556390976,10
TOR1AIP1+ctrl,0.3359953,0.99122363,0.9503759398496241,10
