,NormMSE,Pearson,Spearman,split
ELK1+ctrl,0.7066661,0.4961373,0.9819548872180449,1
YY1+ctrl,0.34905592,0.8767175,0.9789473684210527,1
OGG1+ctrl,0.8020263,0.9212841,0.8421052631578947,1
AURKA+ctrl,0.01938261,0.9965012,0.9578947368421054,1
CREB1+ctrl,0.58323807,0.85665685,0.9894736842105262,2
ELF1+ctrl,0.48557928,0.9304653,0.9909774436090225,2
CIT+ctrl,0.0018800959,0.9990595,0.9954887218045112,2
AURKC+ctrl,0.07071992,0.9984633,0.9834586466165413,2
GABPA+ctrl,3.6308568,-0.9312747,0.831578947368421,3
IRF1+ctrl,0.44287008,0.87316775,0.9744360902255638,3
CENPE+ctrl,0.003689259,0.99774534,0.9969924812030074,3
AURKB+ctrl,0.03724164,0.9988124,0.9609022556390976,3
ELK1+ctrl,0.17368934,0.89689136,0.9969924812030074,4
YY1+ctrl,0.62377715,0.71507996,0.9759398496240601,4
CENPE+ctrl,0.006350951,0.9964679,0.9954887218045112,4
TOR1AIP1+ctrl,0.57768416,0.9675386,0.9278195488721804,4
GABPA+ctrl,2.4167724,-0.91008973,0.8902255639097743,5
IRF1+ctrl,0.4865637,0.93587315,0.9774436090225563,5
OGG1+ctrl,0.6776486,0.97759986,0.8812030075187969,5
ECT2+ctrl,0.47218215,0.99322987,0.9097744360902256,5
IRF1+ctrl,0.23621455,0.96667236,0.9894736842105262,6
E2F4+ctrl,0.14716558,0.9740747,0.9954887218045112,6
ECT2+ctrl,0.4158688,0.99224055,0.9278195488721804,6
AURKB+ctrl,0.07310187,0.9982364,0.9804511278195487,6
GABPA+ctrl,2.936395,-0.9262529,0.8721804511278194,7
IRF1+ctrl,0.87999475,0.103060134,0.9744360902255638,7
E2F4+ctrl,0.5573942,0.8892288,0.9879699248120299,7
RACGAP1+ctrl,0.16035059,0.99540013,0.9488721804511278,7
YY1+ctrl,0.7207814,0.64566433,0.9593984962406013,8
ECT2+ctrl,0.4081809,0.9905082,0.9428571428571428,8
AURKC+ctrl,0.17770824,0.9947983,0.9804511278195487,8
AURKB+ctrl,0.044486582,0.99658704,0.9864661654135337,8
ELK1+ctrl,0.5830243,0.781641,0.9969924812030074,9
E2F4+ctrl,0.44163272,0.88764334,0.9924812030075187,9
YY1+ctrl,0.84077877,0.65336573,0.9729323308270676,9
EGR1+ctrl,0.7793076,0.4268482,0.9473684210526315,9
ELK1+ctrl,1.6851375,-0.18238458,0.9864661654135337,10
E2F4+ctrl,1.418436,-0.87239957,0.9518796992481202,10
EGR1+ctrl,0.72536445,0.6080311,0.9609022556390976,10
TOR1AIP1+ctrl,0.5333025,0.9856004,0.9293233082706768,10
