,NormMSE,1-PCC,split,subgroup,Method
FOXF1+FOXL2,0.06227012,0.01501652668905118,2,seen1,Scouter
AHR+FEV,0.14690025,0.0576247088416284,2,seen2,Scouter
CBFA2T3+FEV,0.14196533,0.03844627910159604,2,seen2,Scouter
CITED1+ctrl,0.6056991,0.21556989482121525,2,single,Scouter
BPGM+ZBTB1,0.020679457,0.0045513573503952465,2,seen2,Scouter
DLX2+SNAI1,0.1750299,0.07963283740027605,2,seen1,Scouter
TSC22D1+ctrl,1.0275211,0.8604085719664217,3,single,Scouter
SGK1+TBX3,0.05204876,0.010390099568553635,3,seen1,Scouter
MAP2K6+SPI1,0.4555049,0.07511969720795442,3,seen2,Scouter
ELMSAN1+ctrl,0.07050551,0.04202179129129324,3,single,Scouter
MEIS1+ctrl,0.05743673,0.027409057583147156,3,single,Scouter
KLF1+ctrl,0.039362274,0.011553874174585976,3,single,Scouter
CBL+ctrl,0.15252577,0.07159919084594035,3,single,Scouter
FOXA1+KLF1,0.10271403,0.09511585109808318,3,seen1,Scouter
TBX2+TBX3,0.16473392,0.06487092454779064,3,seen1,Scouter
DUSP9+MAPK1,0.23467243,0.035766624991182994,3,seen2,Scouter
UBASH3B+ctrl,0.088300936,0.01629184537525441,3,single,Scouter
MIDN+ctrl,0.7237367,0.24683745912417843,3,single,Scouter
UBASH3B+ZBTB25,0.011256659,0.005241848294153972,3,seen1,Scouter
DUSP9+ETS2,0.108084284,0.047494859189142424,3,seen2,Scouter
PTPN9+UBASH3B,0.052829113,0.004683667848506379,3,seen1,Scouter
CNN1+ctrl,0.015965085,0.007502758922857566,3,single,Scouter
TBX2+ctrl,0.31008494,0.0645954729021112,3,single,Scouter
IER5L+ctrl,0.5356988,0.22464435746838785,3,single,Scouter
TP73+ctrl,0.9206769,0.6191331261950899,3,single,Scouter
CEBPE+ETS2,0.04362927,0.011197526958098392,3,seen2,Scouter
HOXC13+ctrl,0.09654911,0.02609680038045159,3,single,Scouter
IKZF3+MAPK1,0.013928278,0.00801361839834902,3,seen2,Scouter
ELMSAN1+LHX1,0.08615094,0.052906761059063445,3,seen1,Scouter
