,NormMSE,1-PCC,split,Method
GINS3+ctrl,0.47672808,0.07831297211633359,1,Scouter
XAB2+ctrl,0.38497502,0.27852554335485025,1,Scouter
EBNA1BP2+ctrl,0.5017237,0.1787424918623035,1,Scouter
RPL4+ctrl,0.03978893,0.009690839708753174,1,Scouter
NMD3+ctrl,0.5029369,0.24484276875578814,1,Scouter
UBAP1+ctrl,0.4635933,0.2713484439427003,1,Scouter
RPF2+ctrl,0.16154923,0.10070184644835212,1,Scouter
MRPL54+ctrl,0.64030147,0.047812351727280045,1,Scouter
POLRMT+ctrl,1.1575607,1.6182663725139188,1,Scouter
NDUFB8+ctrl,0.3192087,0.19239389056161516,1,Scouter
LETM1+ctrl,0.23795494,0.09582472489659799,1,Scouter
MMS22L+ctrl,0.92257,0.588322041701594,1,Scouter
SNRNP27+ctrl,0.92136747,0.5440923261286386,1,Scouter
SRP54+ctrl,0.4140388,0.1988756114601936,1,Scouter
TUT1+ctrl,1.3393865,0.6829985557239885,1,Scouter
SBNO1+ctrl,3.724328,1.2501944956947808,1,Scouter
HYPK+ctrl,1.0112364,0.6998711631554302,1,Scouter
CHMP2A+ctrl,0.09959628,0.025479541239817993,1,Scouter
MRPS26+ctrl,0.25877285,0.11854479669495932,1,Scouter
NEDD1+ctrl,0.39310133,0.1865539055019706,1,Scouter
COPS6+ctrl,0.1910473,0.10016973466582968,1,Scouter
TIMM13+ctrl,0.13800053,0.03410033057730755,1,Scouter
RRS1+ctrl,0.32204056,0.08636427000865077,1,Scouter
GPN3+ctrl,0.2124012,0.07807216159027763,1,Scouter
SNAPC5+ctrl,0.48479497,0.2826055412443954,1,Scouter
ATRIP+ctrl,1.3102498,1.2970321905744981,1,Scouter
FAM32A+ctrl,0.26098448,0.15167611646683554,1,Scouter
NUP107+ctrl,0.23573972,0.02696520379399525,1,Scouter
DKC1+ctrl,1.0596654,1.434315743525325,1,Scouter
MCM3AP+ctrl,0.46485186,0.2368777616138682,1,Scouter
RBM39+ctrl,0.71618396,0.4794170181211638,1,Scouter
MYBBP1A+ctrl,1.1479862,0.718607240306042,1,Scouter
POLR1C+ctrl,0.21709092,0.030309929354339182,1,Scouter
RBM17+ctrl,0.48187384,0.33723466960516135,1,Scouter
SUPV3L1+ctrl,1.1745812,0.7839416634362468,1,Scouter
COPS2+ctrl,0.9622006,0.9422942367830937,1,Scouter
C14orf178+ctrl,1.4574691,1.3122734803060576,1,Scouter
POLR2L+ctrl,0.102039084,0.12586224905517474,1,Scouter
RPS23+ctrl,0.024949336,0.015331040111055239,1,Scouter
RPL9+ctrl,0.04050315,0.006966911675910348,1,Scouter
TBP+ctrl,0.34083503,0.3264959324232185,1,Scouter
GNL2+ctrl,0.44730055,0.11526911052925415,1,Scouter
RBBP4+ctrl,0.8989797,0.6766083262990682,1,Scouter
CNOT2+ctrl,0.3024519,0.12124900154788987,1,Scouter
RPS4X+ctrl,0.22637592,0.14536751131930115,1,Scouter
DTL+ctrl,0.26525605,0.130423374667349,1,Scouter
DBR1+ctrl,1.1138886,0.7208590224650742,1,Scouter
SSBP1+ctrl,0.98696923,1.2532851387887995,1,Scouter
MRPS35+ctrl,0.6354211,0.39325535950519974,1,Scouter
CINP+ctrl,1.2524159,1.0595710576428456,1,Scouter
LSM3+ctrl,0.042018626,0.01535371529370877,1,Scouter
NSA2+ctrl,0.38714245,0.20125513882131296,1,Scouter
SRRM2+ctrl,0.8587955,0.4869349923668469,1,Scouter
NDUFA2+ctrl,0.69952875,0.3998239474556573,1,Scouter
SETDB1+ctrl,1.33305,0.9445456990179953,1,Scouter
EIF6+ctrl,0.45507598,0.2859538727043347,1,Scouter
SNRPA1+ctrl,0.37314016,0.023438988801276373,1,Scouter
USPL1+ctrl,0.7188157,0.33114751317226987,1,Scouter
SUPT16H+ctrl,0.24984682,0.0730729065763972,1,Scouter
MARS+ctrl,0.52054435,0.13348058900294502,1,Scouter
STRAP+ctrl,1.5368385,1.772077411868275,1,Scouter
CDC73+ctrl,0.92725456,0.8815488682678299,1,Scouter
SMC1A+ctrl,0.6829401,0.30802657274635536,1,Scouter
TTC27+ctrl,0.46585244,0.10403887199343331,1,Scouter
WDR3+ctrl,0.36538178,0.14853072311638504,1,Scouter
GATA1+ctrl,0.7963284,0.5593489132796464,1,Scouter
RPS27A+ctrl,0.13192767,0.09007272159582458,1,Scouter
SNRPE+ctrl,0.12845357,0.022309006251440167,1,Scouter
MRPL36+ctrl,0.33730757,0.21358097003613286,1,Scouter
CSTF3+ctrl,0.3995752,0.06566675571532044,1,Scouter
TAF12+ctrl,0.17953962,0.03467569604774645,1,Scouter
CEBPZ+ctrl,0.3045838,0.17035152257113328,1,Scouter
WDR75+ctrl,0.18719578,0.024372916950169188,1,Scouter
DENR+ctrl,0.7528124,0.4383463875137924,1,Scouter
