,NormMSE,1-PCC,split,Method
POP7+ctrl,0.013361031,0.007147184275641649,1,Scouter
DIMT1+ctrl,0.046015672,0.003984742240225603,1,Scouter
TEFM+ctrl,0.58773685,0.558054039457863,1,Scouter
CNOT3+ctrl,0.22780469,0.00901763516496401,1,Scouter
INTS14+ctrl,1.0585141,0.6586803935271702,1,Scouter
SURF6+ctrl,0.018174719,0.005535556017763232,1,Scouter
EPB41L2+ctrl,0.92334133,0.5410843867012425,1,Scouter
DDOST+ctrl,0.6856362,0.18312257238681484,1,Scouter
POU3F1+ctrl,1.0886103,0.8480607422455825,1,Scouter
RBMX+ctrl,0.6990685,0.13142707494871564,1,Scouter
PIAS4+ctrl,0.6313726,0.07677496093674119,1,Scouter
TTC4+ctrl,1.8611739,0.9522522910610955,1,Scouter
EIF1+ctrl,0.90130657,0.6104784958112033,1,Scouter
CABIN1+ctrl,1.5508258,1.1867536567407433,1,Scouter
PRPF38A+ctrl,0.14553861,0.07308348455515845,1,Scouter
ZNF292+ctrl,0.7826188,0.5742054419676431,1,Scouter
VHL+ctrl,1.5558869,1.2430167665471294,1,Scouter
CCDC137+ctrl,0.09297506,0.022200309200188784,1,Scouter
ELP5+ctrl,0.4072804,0.0705672322571016,1,Scouter
YBX1+ctrl,0.51748997,0.11351329367207996,1,Scouter
DDX56+ctrl,0.03997762,0.00942733255967998,1,Scouter
GEMIN6+ctrl,1.0528973,1.35998194404377,1,Scouter
JAZF1+ctrl,0.9908754,1.1193499811005139,1,Scouter
HERC1+ctrl,0.05791335,0.03287322401489756,1,Scouter
ZW10+ctrl,0.7653902,0.43495615734793236,1,Scouter
TTI1+ctrl,0.40177092,0.10070226258829751,1,Scouter
EDC4+ctrl,0.3502269,0.11625868290224617,1,Scouter
SF3B4+ctrl,0.010273589,0.0047734395354596115,1,Scouter
RPL7L1+ctrl,0.23638047,0.012974660430133178,1,Scouter
YJEFN3+ctrl,0.37846577,0.6227233917883173,1,Scouter
MPHOSPH6+ctrl,0.021471065,0.0032647178432040347,1,Scouter
NSMCE2+ctrl,0.9047037,0.8488685740132169,1,Scouter
POLR2E+ctrl,0.19292814,0.03302817450906059,1,Scouter
TADA1+ctrl,0.7971565,0.6493687408604407,1,Scouter
MED18+ctrl,0.03152429,0.006950002983853176,1,Scouter
SF3B3+ctrl,0.042938653,0.0048940460436736055,1,Scouter
CHORDC1+ctrl,0.53590596,0.1353930294153084,1,Scouter
