,NormMSE,Pearson,Spearman,n_pred,seed,split
ATP5B+ctrl,0.09784932,0.9739690609276295,0.9666666666666668,100,6,1
DERL2+ctrl,0.015163441,0.9876179861341825,0.9964912280701754,100,6,1
TELO2+ctrl,0.21701424,0.795280451945473,1.0,100,6,1
MRPL39+ctrl,0.18008171,0.9038184567471035,0.9385964912280702,100,6,1
MANF+ctrl,0.039632056,0.9846600841265172,0.9947368421052631,100,6,1
TARS+ctrl,0.35363743,0.824088211171329,0.9719298245614034,100,6,1
TTI1+ctrl,0.21054225,0.9524246314540505,0.9649122807017543,100,6,1
SRP72+ctrl,0.01355862,0.9952881008211989,0.9982456140350877,100,6,1
SCYL1+ctrl,0.40523592,0.8843019129708409,0.9403508771929823,100,6,1
HYOU1+ctrl,0.09253351,0.9489835872955155,0.9964912280701754,100,6,1
TMED10+ctrl,0.020847438,0.9938345023256261,0.9982456140350877,100,6,1
CCND3+ctrl,0.38824064,0.9024362214840949,0.9578947368421052,100,6,1
COPB1+ctrl,0.044339254,0.9866936788894236,0.9954887218045112,100,6,1
CARS+ctrl,0.19262776,0.9901974676176906,0.856140350877193,100,6,1
SPCS2+ctrl,0.052947324,0.9848141056063469,1.0,100,6,1
BHLHE40+ctrl,0.91556114,0.25604008650407195,0.9508771929824561,100,7,1
HARS+ctrl,0.11113692,0.9829252874478698,0.9578947368421052,100,7,1
ATP5B+ctrl,0.103772506,0.9727615183219314,0.9684210526315788,100,7,1
DERL2+ctrl,0.015239385,0.9880064973949629,0.9964912280701754,100,7,1
TELO2+ctrl,0.21355312,0.7979629572491831,1.0,100,7,1
MRPL39+ctrl,0.19049677,0.8989851299556904,0.9421052631578948,100,7,1
MANF+ctrl,0.04114311,0.9838217040523887,0.9947368421052631,100,7,1
TARS+ctrl,0.35667804,0.8210513349622488,0.9719298245614034,100,7,1
TTI1+ctrl,0.20986868,0.9524731526616961,0.9649122807017543,100,7,1
SRP72+ctrl,0.013115757,0.9949734579422511,0.9982456140350877,100,7,1
SCYL1+ctrl,0.4270608,0.8742377264425159,0.9385964912280702,100,7,1
HYOU1+ctrl,0.09863902,0.9464233690814581,0.9964912280701754,100,7,1
TMED10+ctrl,0.022815041,0.992737244698219,0.9982456140350877,100,7,1
CCND3+ctrl,0.39788693,0.8973899849224836,0.956140350877193,100,7,1
COPB1+ctrl,0.045073234,0.9868492647074163,0.9954887218045112,100,7,1
CARS+ctrl,0.1883093,0.9900554176419973,0.856140350877193,100,7,1
SPCS2+ctrl,0.05663584,0.9846227639864082,1.0,100,7,1
BHLHE40+ctrl,0.91643876,0.26069971756078303,0.9508771929824561,100,8,1
HARS+ctrl,0.11031856,0.9826316386461258,0.9578947368421052,100,8,1
ATP5B+ctrl,0.09626917,0.9731112252920866,0.9684210526315788,100,8,1
DERL2+ctrl,0.017000463,0.9872824482699798,0.9964912280701754,100,8,1
TELO2+ctrl,0.22253965,0.8021568887825197,1.0,100,8,1
MRPL39+ctrl,0.1845728,0.899574326002039,0.9403508771929823,100,8,1
MANF+ctrl,0.046581592,0.9840932918014005,0.9947368421052631,100,8,1
TARS+ctrl,0.36850756,0.821344930678606,0.9719298245614034,100,8,1
TTI1+ctrl,0.2194269,0.9472270595142618,0.9649122807017543,100,8,1
SRP72+ctrl,0.019666923,0.9946953754115384,0.9982456140350877,100,8,1
SCYL1+ctrl,0.41971827,0.8695299690589309,0.9385964912280702,100,8,1
HYOU1+ctrl,0.09354082,0.9457255211891606,0.9964912280701754,100,8,1
TMED10+ctrl,0.026698884,0.9934708106447943,0.9982456140350877,100,8,1
CCND3+ctrl,0.40077972,0.8955055351834744,0.9578947368421052,100,8,1
COPB1+ctrl,0.04021351,0.9877624129876494,0.9954887218045112,100,8,1
CARS+ctrl,0.18896419,0.9900466073304415,0.856140350877193,100,8,1
SPCS2+ctrl,0.043422833,0.9849525413301308,1.0,100,8,1
BHLHE40+ctrl,0.93361086,0.1800887444987893,0.9526315789473684,100,9,1
HARS+ctrl,0.110199824,0.9844586597755551,0.9649122807017543,100,9,1
ATP5B+ctrl,0.102090836,0.9733102889731526,0.9666666666666668,100,9,1
DERL2+ctrl,0.013427439,0.9887032611295581,0.9964912280701754,100,9,1
TELO2+ctrl,0.2138333,0.7932925981922381,0.9982456140350877,100,9,1
MRPL39+ctrl,0.17384316,0.9084018112334888,0.9350877192982456,100,9,1
MANF+ctrl,0.03615757,0.9851387561066076,0.9947368421052631,100,9,1
TARS+ctrl,0.35635594,0.8211720930412412,0.9719298245614034,100,9,1
TTI1+ctrl,0.20809014,0.9501185894478112,0.9649122807017543,100,9,1
SRP72+ctrl,0.011942414,0.9949000452179462,0.9982456140350877,100,9,1
SCYL1+ctrl,0.41050026,0.8800104288384318,0.943859649122807,100,9,1
HYOU1+ctrl,0.09448123,0.9496500067471061,0.9947368421052631,100,9,1
TMED10+ctrl,0.018445708,0.993983531894628,1.0,100,9,1
CCND3+ctrl,0.38164693,0.9085773464757949,0.9578947368421052,100,9,1
COPB1+ctrl,0.03879442,0.9889150038361549,0.9954887218045112,100,9,1
CARS+ctrl,0.187679,0.9894921677187085,0.856140350877193,100,9,1
SPCS2+ctrl,0.061491586,0.9832191205277923,1.0,100,9,1
BHLHE40+ctrl,0.94230294,0.1552260722965002,0.9508771929824561,100,10,1
HARS+ctrl,0.10825514,0.983423282392323,0.9543859649122807,100,10,1
ATP5B+ctrl,0.0899415,0.9732355149462819,0.9666666666666668,100,10,1
DERL2+ctrl,0.01631269,0.9865668651582382,0.9964912280701754,100,10,1
TELO2+ctrl,0.22409801,0.7978209558750677,1.0,100,10,1
MRPL39+ctrl,0.17277642,0.9058329670515377,0.9368421052631579,100,10,1
MANF+ctrl,0.03974622,0.9862147228559479,0.9947368421052631,100,10,1
TARS+ctrl,0.36415702,0.8257611505687237,0.9719298245614034,100,10,1
TTI1+ctrl,0.21557054,0.9456051785964519,0.9649122807017543,100,10,1
SRP72+ctrl,0.01629545,0.9954836572578643,0.9982456140350877,100,10,1
SCYL1+ctrl,0.39564472,0.8798993555828929,0.9403508771929823,100,10,1
HYOU1+ctrl,0.08608953,0.9502132353372872,0.9964912280701754,100,10,1
TMED10+ctrl,0.022645706,0.9939940613985527,0.9982456140350877,100,10,1
CCND3+ctrl,0.3833764,0.9032612460432574,0.9578947368421052,100,10,1
COPB1+ctrl,0.038595933,0.987591665238142,0.9954887218045112,100,10,1
CARS+ctrl,0.18957373,0.9901242544874549,0.856140350877193,100,10,1
SPCS2+ctrl,0.046809237,0.9850668715480424,1.0,100,10,1
BHLHE40+ctrl,0.92504114,0.2180326181696728,0.9526315789473684,200,1,1
HARS+ctrl,0.10623833,0.9818898886442184,0.9649122807017543,200,1,1
ATP5B+ctrl,0.09565221,0.9724089363589883,0.9666666666666668,200,1,1
DERL2+ctrl,0.01444696,0.9874880429943005,0.9964912280701754,200,1,1
TELO2+ctrl,0.21931738,0.7935912529837879,0.9982456140350877,200,1,1
MRPL39+ctrl,0.17664734,0.9051459226757288,0.9350877192982456,200,1,1
MANF+ctrl,0.039942984,0.9850785210728645,0.9947368421052631,200,1,1
TARS+ctrl,0.367885,0.8192945905029774,0.9719298245614034,200,1,1
TTI1+ctrl,0.21390092,0.9440047710668296,0.9649122807017543,200,1,1
SRP72+ctrl,0.014154119,0.9944635429128539,0.9982456140350877,200,1,1
SCYL1+ctrl,0.4020238,0.8779144827276468,0.9421052631578948,200,1,1
HYOU1+ctrl,0.0991183,0.9441668452927843,0.9947368421052631,200,1,1
TMED10+ctrl,0.020976376,0.9939369925414212,0.9982456140350877,200,1,1
CCND3+ctrl,0.39950794,0.9010839043185115,0.9578947368421052,200,1,1
COPB1+ctrl,0.035578962,0.9888525367714465,0.9954887218045112,200,1,1
CARS+ctrl,0.17646627,0.9906674223020673,0.856140350877193,200,1,1
SPCS2+ctrl,0.05699874,0.9820703970835893,1.0,200,1,1
BHLHE40+ctrl,0.9269289,0.21083024435210973,0.9526315789473684,200,2,1
HARS+ctrl,0.111861505,0.9833395974710584,0.9649122807017543,200,2,1
ATP5B+ctrl,0.100442104,0.9739383580163121,0.9684210526315788,200,2,1
DERL2+ctrl,0.013820729,0.9887933090685692,0.9964912280701754,200,2,1
TELO2+ctrl,0.21414708,0.7977375020909676,0.9982456140350877,200,2,1
MRPL39+ctrl,0.17789653,0.9055823748349212,0.9403508771929823,200,2,1
MANF+ctrl,0.040244754,0.9841093024006113,0.9947368421052631,200,2,1
TARS+ctrl,0.35483223,0.8224366689100862,0.9719298245614034,200,2,1
TTI1+ctrl,0.21174814,0.9509563971078023,0.9649122807017543,200,2,1
SRP72+ctrl,0.014207843,0.9946373403654434,0.9982456140350877,200,2,1
SCYL1+ctrl,0.4160862,0.8772734347730875,0.9385964912280702,200,2,1
HYOU1+ctrl,0.09474253,0.9472129774367204,0.9947368421052631,200,2,1
TMED10+ctrl,0.02083997,0.9937428936827928,0.9982456140350877,200,2,1
CCND3+ctrl,0.38935512,0.9040881227701902,0.9578947368421052,200,2,1
COPB1+ctrl,0.04274767,0.9874520883895457,0.9954887218045112,200,2,1
CARS+ctrl,0.18917766,0.9902302101254463,0.856140350877193,200,2,1
SPCS2+ctrl,0.05523212,0.9840308630991785,1.0,200,2,1
BHLHE40+ctrl,0.9374021,0.165522001683712,0.9508771929824561,200,3,1
HARS+ctrl,0.11332924,0.9834850030019879,0.9543859649122807,200,3,1
ATP5B+ctrl,0.100338385,0.9739192118868232,0.9666666666666668,200,3,1
DERL2+ctrl,0.015011815,0.9878808458506683,0.9964912280701754,200,3,1
TELO2+ctrl,0.2098754,0.800738784873829,1.0,200,3,1
MRPL39+ctrl,0.17894891,0.9051870710682124,0.9385964912280702,200,3,1
MANF+ctrl,0.037036017,0.985349757829681,0.9947368421052631,200,3,1
TARS+ctrl,0.35123473,0.8240231359377503,0.9719298245614034,200,3,1
TTI1+ctrl,0.21119857,0.9510520906187594,0.9649122807017543,200,3,1
SRP72+ctrl,0.011644814,0.9957434118259698,0.9982456140350877,200,3,1
SCYL1+ctrl,0.4065367,0.8858054596930742,0.9403508771929823,200,3,1
HYOU1+ctrl,0.08980511,0.9517700578726362,0.9964912280701754,200,3,1
TMED10+ctrl,0.019468565,0.9937011852744035,0.9982456140350877,200,3,1
CCND3+ctrl,0.3904831,0.9027474541217089,0.9578947368421052,200,3,1
COPB1+ctrl,0.04523394,0.9866709816269577,0.9954887218045112,200,3,1
CARS+ctrl,0.19368196,0.9904626980423927,0.856140350877193,200,3,1
SPCS2+ctrl,0.056143705,0.9847440902922244,1.0,200,3,1
BHLHE40+ctrl,0.93791425,0.16543735121376812,0.9526315789473684,200,4,1
HARS+ctrl,0.10883471,0.9833823963999748,0.9649122807017543,200,4,1
ATP5B+ctrl,0.09956805,0.9735036250203848,0.9666666666666668,200,4,1
DERL2+ctrl,0.0144767575,0.9879935583921906,0.9964912280701754,200,4,1
TELO2+ctrl,0.21863838,0.7932707534801011,0.9982456140350877,200,4,1
MRPL39+ctrl,0.17656972,0.9056136599974707,0.9350877192982456,200,4,1
MANF+ctrl,0.039189328,0.984968411969021,0.9947368421052631,200,4,1
TARS+ctrl,0.35656917,0.8231705063953996,0.9719298245614034,200,4,1
TTI1+ctrl,0.21456547,0.9483517237240449,0.9649122807017543,200,4,1
SRP72+ctrl,0.013941074,0.9949334174161777,0.9982456140350877,200,4,1
SCYL1+ctrl,0.40832096,0.8815740514546633,0.9403508771929823,200,4,1
HYOU1+ctrl,0.093549185,0.9481298548344057,0.9947368421052631,200,4,1
TMED10+ctrl,0.020393066,0.9941540864529088,0.9982456140350877,200,4,1
CCND3+ctrl,0.38965225,0.9062266384717077,0.9578947368421052,200,4,1
COPB1+ctrl,0.04210436,0.9878252819180489,0.9954887218045112,200,4,1
CARS+ctrl,0.18709497,0.9904631469398737,0.856140350877193,200,4,1
SPCS2+ctrl,0.0542635,0.9838051996521244,1.0,200,4,1
BHLHE40+ctrl,0.9168505,0.25597101962193847,0.9508771929824561,200,5,1
HARS+ctrl,0.111048505,0.9817709373310208,0.9578947368421052,200,5,1
ATP5B+ctrl,0.09967147,0.972099763341248,0.9666666666666668,200,5,1
DERL2+ctrl,0.016997134,0.986659518448505,0.9964912280701754,200,5,1
TELO2+ctrl,0.21831274,0.8009013982027682,1.0,200,5,1
MRPL39+ctrl,0.18500835,0.8997670504904818,0.9350877192982456,200,5,1
MANF+ctrl,0.04361835,0.984905760793481,0.9947368421052631,200,5,1
TARS+ctrl,0.36193565,0.8221857016906142,0.9719298245614034,200,5,1
TTI1+ctrl,0.2219207,0.9441330932313576,0.9649122807017543,200,5,1
SRP72+ctrl,0.016060362,0.9951143338112161,0.9982456140350877,200,5,1
SCYL1+ctrl,0.4131449,0.877355438657105,0.9368421052631579,200,5,1
HYOU1+ctrl,0.09464742,0.9465474208700471,0.9964912280701754,200,5,1
TMED10+ctrl,0.024547396,0.9935981094895396,0.9982456140350877,200,5,1
CCND3+ctrl,0.41240144,0.892435408430174,0.9578947368421052,200,5,1
COPB1+ctrl,0.04166733,0.9873473718762398,0.9954887218045112,200,5,1
CARS+ctrl,0.18532445,0.9912008019164205,0.856140350877193,200,5,1
SPCS2+ctrl,0.04955494,0.9837967264684266,1.0,200,5,1
BHLHE40+ctrl,0.930605,0.19597509282175452,0.9508771929824561,200,6,1
HARS+ctrl,0.11234675,0.9831311730667949,0.9578947368421052,200,6,1
ATP5B+ctrl,0.09810481,0.9741016374900937,0.9666666666666668,200,6,1
DERL2+ctrl,0.014983117,0.9877751119820459,0.9964912280701754,200,6,1
TELO2+ctrl,0.21425329,0.7983459797915202,1.0,200,6,1
MRPL39+ctrl,0.17877251,0.9046030796598643,0.9385964912280702,200,6,1
MANF+ctrl,0.038814697,0.9850909860106185,0.9947368421052631,200,6,1
TARS+ctrl,0.35503626,0.8232527580112219,0.9719298245614034,200,6,1
TTI1+ctrl,0.21181197,0.9509715274907649,0.9649122807017543,200,6,1
SRP72+ctrl,0.013147081,0.9953868812590372,0.9982456140350877,200,6,1
SCYL1+ctrl,0.40685353,0.8826338341459632,0.9403508771929823,200,6,1
HYOU1+ctrl,0.09212596,0.9492706425953656,0.9964912280701754,200,6,1
TMED10+ctrl,0.0205861,0.9938317336491309,0.9982456140350877,200,6,1
CCND3+ctrl,0.38954124,0.9030439362395555,0.9578947368421052,200,6,1
COPB1+ctrl,0.043509,0.9870032835751772,0.9954887218045112,200,6,1
CARS+ctrl,0.19128588,0.9903959445655346,0.856140350877193,200,6,1
SPCS2+ctrl,0.053174376,0.9845985163992736,1.0,200,6,1
BHLHE40+ctrl,0.91720766,0.2500423975288868,0.9526315789473684,200,7,1
HARS+ctrl,0.10832281,0.981868963688612,0.9649122807017543,200,7,1
ATP5B+ctrl,0.10102781,0.9727031132206321,0.9649122807017543,200,7,1
DERL2+ctrl,0.015987193,0.9870479446171885,0.9964912280701754,200,7,1
TELO2+ctrl,0.21919158,0.7947789418503817,0.9982456140350877,200,7,1
MRPL39+ctrl,0.18530953,0.9006302597408649,0.9403508771929823,200,7,1
MANF+ctrl,0.042642675,0.9846693184226751,0.9947368421052631,200,7,1
TARS+ctrl,0.36539793,0.8187944451346993,0.9719298245614034,200,7,1
TTI1+ctrl,0.21721314,0.9457306966651231,0.9649122807017543,200,7,1
SRP72+ctrl,0.014958324,0.9946463074593339,0.9982456140350877,200,7,1
SCYL1+ctrl,0.42212027,0.8714954918250442,0.9385964912280702,200,7,1
HYOU1+ctrl,0.101287626,0.9436628450639546,0.9947368421052631,200,7,1
TMED10+ctrl,0.023253337,0.9937037870986387,0.9982456140350877,200,7,1
CCND3+ctrl,0.4097278,0.8983406245242804,0.9578947368421052,200,7,1
COPB1+ctrl,0.039804474,0.988361625932157,0.9954887218045112,200,7,1
CARS+ctrl,0.1790546,0.9909248203039169,0.856140350877193,200,7,1
SPCS2+ctrl,0.05434561,0.9823154029545549,1.0,200,7,1
BHLHE40+ctrl,0.9332925,0.18520612781867385,0.9508771929824561,200,8,1
HARS+ctrl,0.11024577,0.9834221992641687,0.9649122807017543,200,8,1
ATP5B+ctrl,0.096067235,0.9739559926092625,0.9666666666666668,200,8,1
DERL2+ctrl,0.014072265,0.9883198730130971,0.9964912280701754,200,8,1
TELO2+ctrl,0.21437556,0.8002642739447765,1.0,200,8,1
MRPL39+ctrl,0.17595366,0.9059694923926145,0.9368421052631579,200,8,1
MANF+ctrl,0.039211113,0.9850057079456747,0.9947368421052631,200,8,1
TARS+ctrl,0.3610633,0.8213610639795661,0.9719298245614034,200,8,1
TTI1+ctrl,0.21198313,0.9487243087496608,0.9649122807017543,200,8,1
SRP72+ctrl,0.014297358,0.9949410041735973,0.9982456140350877,200,8,1
SCYL1+ctrl,0.41241807,0.8753470880910754,0.9421052631578948,200,8,1
HYOU1+ctrl,0.0927384,0.9480476045137038,0.9947368421052631,200,8,1
TMED10+ctrl,0.021032743,0.9936471414985135,0.9982456140350877,200,8,1
CCND3+ctrl,0.3877053,0.9042213775683194,0.9578947368421052,200,8,1
COPB1+ctrl,0.03911143,0.9880615933798254,0.9954887218045112,200,8,1
CARS+ctrl,0.18760715,0.9900251012295485,0.856140350877193,200,8,1
SPCS2+ctrl,0.052593894,0.9842030998443079,1.0,200,8,1
BHLHE40+ctrl,0.9388467,0.1568679939955473,0.9526315789473684,200,9,1
HARS+ctrl,0.10578998,0.9829770559445024,0.9684210526315788,200,9,1
ATP5B+ctrl,0.09988093,0.9736882196739316,0.9684210526315788,200,9,1
DERL2+ctrl,0.012915644,0.9889576661553292,0.9964912280701754,200,9,1
TELO2+ctrl,0.21722928,0.7855025236467554,0.9982456140350877,200,9,1
MRPL39+ctrl,0.17158955,0.9105227197287604,0.9385964912280702,200,9,1
MANF+ctrl,0.036312513,0.9843627223744988,0.9947368421052631,200,9,1
TARS+ctrl,0.35678732,0.8203147109597921,0.9701754385964911,200,9,1
TTI1+ctrl,0.20628439,0.9499087776057422,0.9649122807017543,200,9,1
SRP72+ctrl,0.012109196,0.9940573942149058,0.9982456140350877,200,9,1
SCYL1+ctrl,0.4008098,0.8849114570766687,0.9421052631578948,200,9,1
HYOU1+ctrl,0.100636885,0.9462858416954987,0.9947368421052631,200,9,1
TMED10+ctrl,0.015967458,0.9948381806025282,1.0,200,9,1
CCND3+ctrl,0.38245514,0.914710724260658,0.9578947368421052,200,9,1
COPB1+ctrl,0.037740663,0.9889572337269783,0.9954887218045112,200,9,1
CARS+ctrl,0.17818116,0.9903331967070699,0.856140350877193,200,9,1
SPCS2+ctrl,0.06665249,0.9809726094681537,1.0,200,9,1
BHLHE40+ctrl,0.9392955,0.16363241896033287,0.9508771929824561,200,10,1
HARS+ctrl,0.109374925,0.9829248739406466,0.9543859649122807,200,10,1
ATP5B+ctrl,0.093579814,0.9736726246774197,0.9666666666666668,200,10,1
DERL2+ctrl,0.01582035,0.9867664144694572,0.9964912280701754,200,10,1
TELO2+ctrl,0.22247326,0.7938261185772717,1.0,200,10,1
MRPL39+ctrl,0.17400266,0.9059419844998047,0.9385964912280702,200,10,1
MANF+ctrl,0.038651716,0.9859269421431236,0.9947368421052631,200,10,1
TARS+ctrl,0.35977462,0.8246445758268237,0.9719298245614034,200,10,1
TTI1+ctrl,0.21519479,0.9468296415871009,0.9649122807017543,200,10,1
SRP72+ctrl,0.014723268,0.9953414648189209,0.9982456140350877,200,10,1
SCYL1+ctrl,0.3923725,0.8864328269846737,0.9456140350877192,200,10,1
HYOU1+ctrl,0.088648595,0.9496997268579435,0.9964912280701754,200,10,1
TMED10+ctrl,0.020318272,0.9946867551770993,0.9982456140350877,200,10,1
CCND3+ctrl,0.38792688,0.9051235925871879,0.9578947368421052,200,10,1
COPB1+ctrl,0.03950816,0.9878299743868411,0.9954887218045112,200,10,1
CARS+ctrl,0.18857361,0.9904478127136827,0.856140350877193,200,10,1
SPCS2+ctrl,0.050112095,0.9839573635581473,1.0,200,10,1
BHLHE40+ctrl,0.93523484,0.174087688094005,0.9526315789473684,300,1,1
HARS+ctrl,0.10850996,0.9826210951432586,0.9649122807017543,300,1,1
ATP5B+ctrl,0.09725274,0.9731705253943801,0.9666666666666668,300,1,1
DERL2+ctrl,0.013895475,0.9882355331756116,0.9964912280701754,300,1,1
TELO2+ctrl,0.21395986,0.7950401495108963,0.9982456140350877,300,1,1
MRPL39+ctrl,0.17498302,0.9072131378343329,0.9333333333333333,300,1,1
MANF+ctrl,0.037588548,0.9850386776961386,0.9947368421052631,300,1,1
TARS+ctrl,0.3581831,0.821797251701355,0.9719298245614034,300,1,1
TTI1+ctrl,0.21010076,0.9481938483659178,0.9649122807017543,300,1,1
SRP72+ctrl,0.012257051,0.9948571887798607,0.9982456140350877,300,1,1
SCYL1+ctrl,0.39990723,0.8840271634981036,0.9421052631578948,300,1,1
HYOU1+ctrl,0.096179545,0.9473829725175165,0.9947368421052631,300,1,1
