,NormMSE,Pearson,Spearman,split
BHLHE40+ctrl,0.5155409,0.94210845,0.956140350877193,1
HARS+ctrl,0.074109666,0.9745975,0.9701754385964911,1
ATP5B+ctrl,0.030808097,0.9914782,0.9824561403508772,1
DERL2+ctrl,0.017221905,0.98945546,0.9964912280701754,1
TELO2+ctrl,0.13218924,0.8787426,1.0,1
MRPL39+ctrl,0.22782348,0.89371026,0.887719298245614,1
MANF+ctrl,0.025562754,0.99703693,1.0,1
TARS+ctrl,0.3306623,0.8323593,0.975438596491228,1
TTI1+ctrl,0.2947479,0.9403068,0.956140350877193,1
SRP72+ctrl,0.063647225,0.9793229,0.9964912280701754,1
SCYL1+ctrl,0.82922316,0.5638663,0.8982456140350877,1
HYOU1+ctrl,0.20213574,0.86658037,0.9947368421052631,1
TMED10+ctrl,0.008309434,0.9958864,1.0,1
CCND3+ctrl,0.3055489,0.9637584,0.9736842105263157,1
COPB1+ctrl,0.034034934,0.9898673,0.9969924812030074,1
CARS+ctrl,0.24460654,0.98851985,0.8473684210526315,1
SPCS2+ctrl,0.030620718,0.9882961,0.9982456140350877,1
CREB1+ctrl,0.8250458,0.6426048,0.9593984962406013,2
SLMO2+ctrl,0.29786947,0.9154661,0.9649122807017543,2
TIMM23+ctrl,0.023803815,0.9924201,0.9894736842105263,2
AMIGO3+ctrl,0.11041419,0.9841377,1.0,2
QARS+ctrl,0.15993215,0.97828174,0.9105263157894736,2
ATP5B+ctrl,0.016726946,0.9926133,0.980701754385965,2
SYVN1+ctrl,0.035437614,0.9870199,0.9982456140350877,2
MTHFD1+ctrl,0.38206804,0.78613186,0.8596491228070176,2
TTI1+ctrl,0.19797595,0.96407074,0.9649122807017543,2
SRP68+ctrl,0.07913234,0.9578393,0.9982456140350877,2
TIMM44+ctrl,0.30011672,0.93682176,0.8736842105263157,2
DDOST+ctrl,0.06829926,0.98073816,0.980701754385965,2
TMED10+ctrl,0.022076566,0.99511176,0.9982456140350877,2
DNAJC19+ctrl,0.12556921,0.9823264,0.975438596491228,2
CARS+ctrl,0.28217608,0.9795502,0.8403508771929825,2
P4HB+ctrl,0.019342056,0.9917915,0.9982456140350877,2
SPCS2+ctrl,0.058476012,0.98970824,0.9982456140350877,2
OST4+ctrl,0.1341359,0.9944757,0.9964912280701754,3
EIF2B4+ctrl,0.036135297,0.98798305,0.9929824561403509,3
IER3IP1+ctrl,1.0392921,0.5758159,0.8315789473684211,3
YIPF5+ctrl,0.17374212,0.968884,0.987719298245614,3
DAD1+ctrl,0.052083485,0.99384475,0.9894736842105263,3
SEL1L+ctrl,0.20423962,0.9571582,0.9699248120300751,3
TTI2+ctrl,0.015275787,0.9881984,0.9982456140350877,3
DERL2+ctrl,0.053673297,0.9822503,0.9964912280701754,3
SEC61B+ctrl,0.05542733,0.97061753,0.9929824561403509,3
EIF2B2+ctrl,0.04320877,0.9869295,0.9859649122807018,3
HSPA5+ctrl,1.0026298,0.5577846,0.6721804511278194,3
TIMM44+ctrl,0.26721293,0.93087125,0.8789473684210527,3
UFM1+ctrl,0.03746684,0.97622615,0.9982456140350877,3
SEC61G+ctrl,0.015796624,0.996115,0.9894736842105263,3
DNAJC19+ctrl,0.09166324,0.986604,0.9842105263157893,3
TMED2+ctrl,0.04900436,0.9979473,1.0,3
SPCS3+ctrl,0.05708242,0.9839598,0.9929824561403509,3
OST4+ctrl,0.038629584,0.9885884,0.9982456140350877,4
SEC61A1+ctrl,0.16529536,0.9739664,0.8614035087719297,4
AMIGO3+ctrl,0.08156062,0.9811051,0.9984962406015038,4
UFL1+ctrl,0.10015349,0.98945314,0.9719298245614034,4
DDRGK1+ctrl,0.049757738,0.97822493,0.9894736842105263,4
MTHFD1+ctrl,0.33899686,0.8630372,0.8614035087719297,4
HSPA9+ctrl,0.29230276,0.89548284,0.8964912280701753,4
