,NormMSE,Pearson,Spearman,split
BHLHE40+ctrl,0.33476657,0.9650291,0.9719298245614034,1
HARS+ctrl,0.06283335,0.9748893,0.9701754385964911,1
ATP5B+ctrl,0.059214573,0.9741266,0.9473684210526316,1
DERL2+ctrl,0.014636522,0.9877331,0.9964912280701754,1
TELO2+ctrl,0.1305391,0.87622195,1.0,1
MRPL39+ctrl,0.2113748,0.8875573,0.8842105263157896,1
MANF+ctrl,0.033031464,0.98758924,1.0,1
TARS+ctrl,0.32864794,0.83405066,0.975438596491228,1
TTI1+ctrl,0.2644541,0.95284694,0.956140350877193,1
SRP72+ctrl,0.049215876,0.979906,0.9964912280701754,1
SCYL1+ctrl,0.36862257,0.9217985,0.9456140350877192,1
HYOU1+ctrl,0.23176219,0.8402325,0.9894736842105263,1
TMED10+ctrl,0.0062927045,0.99669385,1.0,1
CCND3+ctrl,0.33999932,0.95178294,0.9596491228070174,1
COPB1+ctrl,0.032344595,0.9914286,0.9969924812030074,1
CARS+ctrl,0.22502531,0.9902288,0.8473684210526315,1
SPCS2+ctrl,0.02826189,0.9870969,0.9982456140350877,1
CREB1+ctrl,0.60672796,0.8796533,0.9669172932330825,2
SLMO2+ctrl,0.2501149,0.92007715,0.9719298245614034,2
TIMM23+ctrl,0.016180784,0.99228084,0.9929824561403509,2
AMIGO3+ctrl,0.12093496,0.9658721,1.0,2
QARS+ctrl,0.23818925,0.9624594,0.9,2
ATP5B+ctrl,0.018707918,0.99214447,0.9842105263157893,2
SYVN1+ctrl,0.013011221,0.9960619,1.0,2
MTHFD1+ctrl,0.36413255,0.79082817,0.8649122807017543,2
TTI1+ctrl,0.16643704,0.95581406,0.9719298245614034,2
SRP68+ctrl,0.08708045,0.9509194,1.0,2
TIMM44+ctrl,0.21324186,0.95022684,0.8947368421052632,2
DDOST+ctrl,0.019072425,0.99117756,0.9982456140350877,2
TMED10+ctrl,0.03021103,0.9919125,1.0,2
DNAJC19+ctrl,0.08880244,0.9750118,0.9842105263157893,2
CARS+ctrl,0.24737374,0.98089755,0.8421052631578947,2
P4HB+ctrl,0.040822163,0.9884184,0.9982456140350877,2
SPCS2+ctrl,0.066929094,0.9839435,0.9982456140350877,2
OST4+ctrl,0.07801172,0.991912,0.9982456140350877,3
EIF2B4+ctrl,0.037092403,0.98841107,0.9842105263157893,3
IER3IP1+ctrl,0.95446867,0.64158535,0.8315789473684211,3
YIPF5+ctrl,0.10681167,0.9790734,0.9912280701754386,3
DAD1+ctrl,0.04214953,0.99455905,0.9947368421052631,3
SEL1L+ctrl,0.123860404,0.9794946,0.9744360902255638,3
TTI2+ctrl,0.011785446,0.99096835,0.9982456140350877,3
DERL2+ctrl,0.04273584,0.9742291,0.9964912280701754,3
SEC61B+ctrl,0.07283469,0.9604548,0.9894736842105263,3
EIF2B2+ctrl,0.054842573,0.9868031,0.9842105263157893,3
HSPA5+ctrl,0.9066741,0.6657395,0.6932330827067669,3
TIMM44+ctrl,0.29382956,0.91106313,0.8842105263157896,3
UFM1+ctrl,0.02147615,0.9897229,0.9982456140350877,3
SEC61G+ctrl,0.0073725577,0.99752915,0.9929824561403509,3
DNAJC19+ctrl,0.07485949,0.9861698,0.9859649122807018,3
TMED2+ctrl,0.031570982,0.99510425,1.0,3
SPCS3+ctrl,0.059846926,0.98536336,0.9929824561403509,3
OST4+ctrl,0.038784187,0.98873585,0.9982456140350877,4
SEC61A1+ctrl,0.17158721,0.9739347,0.8666666666666666,4
AMIGO3+ctrl,0.08209917,0.9852003,1.0,4
UFL1+ctrl,0.10225737,0.9878083,0.9736842105263157,4
DDRGK1+ctrl,0.065624,0.98089916,0.9894736842105263,4
MTHFD1+ctrl,0.3012388,0.8784476,0.8684210526315789,4
HSPA9+ctrl,0.20668331,0.92914706,0.9210526315789472,4
SEC61B+ctrl,0.055741224,0.98104835,1.0,4
TARS+ctrl,0.4198246,0.8076877,0.9824561403508772,4
HSPA5+ctrl,0.9153457,0.68767375,0.7187969924812029,4
SRP68+ctrl,0.08800702,0.9496817,1.0,4
PTDSS1+ctrl,0.054625668,0.99037755,0.9964912280701754,4
HYOU1+ctrl,0.056849156,0.96805894,0.9982456140350877,4
SLC35B1+ctrl,0.034893464,0.9947982,0.9982456140350877,4
UFM1+ctrl,0.1213861,0.9773137,0.9789473684210527,4
PPWD1+ctrl,0.13186584,0.9651594,0.9824561403508772,4
TMED2+ctrl,0.010265804,0.9985826,0.9982456140350877,4
HARS+ctrl,0.054317053,0.986956,0.975438596491228,5
DAD1+ctrl,0.056663286,0.99728525,0.9894736842105263,5
IARS2+ctrl,0.02080355,0.9935726,0.9684210526315788,5
DDRGK1+ctrl,0.028289082,0.98982745,0.9964912280701754,5
STT3A+ctrl,0.044109654,0.98379236,1.0,5
SAMM50+ctrl,0.011578809,0.99602115,0.9982456140350877,5
MRGBP+ctrl,0.8479698,0.5349915,0.9245614035087718,5
SYVN1+ctrl,0.02394907,0.99027413,0.9964912280701754,5
TMEM167A+ctrl,0.170983,0.9625059,0.9578947368421052,5
SLC39A7+ctrl,0.13569322,0.97385883,0.9912280701754386,5
SEC63+ctrl,0.049659275,0.97236395,0.9982456140350877,5
ASCC3+ctrl,0.36093876,0.8456306,0.980701754385965,5
HSPA5+ctrl,0.75241446,0.7370161,0.7233082706766917,5
KCTD16+ctrl,0.035940014,0.99382657,0.9984962406015038,5
CHERP+ctrl,0.55415386,0.7983014,0.8842105263157896,5
AARS+ctrl,0.11492946,0.98095036,0.8982456140350877,5
CARS+ctrl,0.2449809,0.97521216,0.8473684210526315,5
