,NormMSE,Pearson,Spearman,split
BHLHE40+ctrl,0.95271975,0.122847185,0.9543859649122807,1
HARS+ctrl,0.05179406,0.98005646,0.9736842105263157,1
ATP5B+ctrl,0.057184614,0.97231805,0.9824561403508772,1
DERL2+ctrl,0.14352506,0.97503626,0.9859649122807018,1
TELO2+ctrl,0.15091868,0.8511063,1.0,1
MRPL39+ctrl,0.1770618,0.90773994,0.8947368421052632,1
MANF+ctrl,0.016723517,0.9965392,1.0,1
TARS+ctrl,0.40719947,0.83082193,0.9859649122807018,1
TTI1+ctrl,0.32799473,0.9208117,0.943859649122807,1
SRP72+ctrl,0.062102713,0.96649027,0.9964912280701754,1
SCYL1+ctrl,0.46880352,0.8476803,0.9456140350877192,1
HYOU1+ctrl,0.16312984,0.89793587,0.9964912280701754,1
TMED10+ctrl,0.0057857377,0.9979465,1.0,1
CCND3+ctrl,0.52420026,0.86847657,0.9649122807017543,1
COPB1+ctrl,0.0594295,0.98786986,0.9894736842105262,1
CARS+ctrl,0.20018668,0.9876467,0.8754385964912281,1
SPCS2+ctrl,0.06026241,0.95980215,0.9982456140350877,1
CREB1+ctrl,1.0578536,-0.10411132,0.9503759398496241,2
SLMO2+ctrl,0.3086633,0.8975835,0.9701754385964911,2
TIMM23+ctrl,0.013447692,0.9943988,0.9947368421052631,2
AMIGO3+ctrl,0.036234412,0.97952384,0.9984962406015038,2
QARS+ctrl,0.15447858,0.97674644,0.9105263157894736,2
ATP5B+ctrl,0.019667936,0.993731,0.9947368421052631,2
SYVN1+ctrl,0.04997404,0.97709805,0.9964912280701754,2
MTHFD1+ctrl,0.37000003,0.81220067,0.8596491228070176,2
TTI1+ctrl,0.2145156,0.95615065,0.9315789473684211,2
SRP68+ctrl,0.09224545,0.95516104,0.9982456140350877,2
TIMM44+ctrl,0.5690625,0.7183041,0.8701754385964912,2
DDOST+ctrl,0.08523354,0.98335195,0.980701754385965,2
TMED10+ctrl,0.017800482,0.9960149,0.9964912280701754,2
DNAJC19+ctrl,0.17517091,0.9841696,0.9649122807017543,2
CARS+ctrl,0.21929507,0.9816791,0.8666666666666666,2
P4HB+ctrl,0.016079532,0.9916353,0.9982456140350877,2
SPCS2+ctrl,0.03526279,0.98087215,0.9982456140350877,2
OST4+ctrl,0.1346876,0.9947858,0.9964912280701754,3
EIF2B4+ctrl,0.053971946,0.9799585,0.9789473684210527,3
IER3IP1+ctrl,0.45637423,0.9066747,0.9263157894736841,3
YIPF5+ctrl,0.1461317,0.96565074,0.987719298245614,3
DAD1+ctrl,0.15471977,0.9842761,0.9736842105263157,3
SEL1L+ctrl,0.28159434,0.9427073,0.9729323308270676,3
TTI2+ctrl,0.06854195,0.9639696,0.9982456140350877,3
DERL2+ctrl,0.16935988,0.9530824,0.9859649122807018,3
SEC61B+ctrl,0.013544497,0.9950141,1.0,3
EIF2B2+ctrl,0.068413995,0.9866056,0.9789473684210527,3
HSPA5+ctrl,0.92775285,0.63547343,0.7127819548872181,3
TIMM44+ctrl,0.45284337,0.8198585,0.8719298245614034,3
UFM1+ctrl,0.061580546,0.9959572,0.9982456140350877,3
SEC61G+ctrl,0.06559864,0.9859837,0.9526315789473684,3
DNAJC19+ctrl,0.169417,0.97900903,0.9596491228070174,3
TMED2+ctrl,0.0857772,0.9961488,0.9982456140350877,3
SPCS3+ctrl,0.061467264,0.98711014,0.9912280701754386,3
OST4+ctrl,0.041088786,0.9907451,0.9982456140350877,4
SEC61A1+ctrl,0.20321842,0.96260166,0.8614035087719297,4
AMIGO3+ctrl,0.055385195,0.9704442,0.9984962406015038,4
UFL1+ctrl,0.044772003,0.98239726,0.9912280701754386,4
DDRGK1+ctrl,0.020607812,0.99048674,0.9947368421052631,4
MTHFD1+ctrl,0.3643698,0.8241917,0.8578947368421052,4
HSPA9+ctrl,0.47165963,0.8529916,0.856140350877193,4
SEC61B+ctrl,0.03240873,0.99097025,1.0,4
TARS+ctrl,0.58591354,0.8106543,0.9684210526315788,4
HSPA5+ctrl,0.9724248,0.6302724,0.6676691729323309,4
SRP68+ctrl,0.09706854,0.94512093,1.0,4
PTDSS1+ctrl,0.15748027,0.9949187,0.9929824561403509,4
HYOU1+ctrl,0.039404016,0.9855283,1.0,4
SLC35B1+ctrl,0.061113305,0.97713995,0.9982456140350877,4
UFM1+ctrl,0.054819047,0.9848052,0.9947368421052631,4
PPWD1+ctrl,0.11880247,0.9546758,0.9842105263157893,4
TMED2+ctrl,0.043851584,0.99761957,0.9982456140350877,4
HARS+ctrl,0.085379094,0.98788667,0.9684210526315788,5
DAD1+ctrl,0.09413954,0.99088186,0.9894736842105263,5
IARS2+ctrl,0.04043516,0.99271435,0.9684210526315788,5
DDRGK1+ctrl,0.031826593,0.9811666,0.9964912280701754,5
STT3A+ctrl,0.05138164,0.97695637,1.0,5
SAMM50+ctrl,0.11970232,0.99206257,0.9614035087719298,5
MRGBP+ctrl,0.79634863,0.5665859,0.9263157894736841,5
SYVN1+ctrl,0.1150875,0.98232204,0.987719298245614,5
TMEM167A+ctrl,0.30246946,0.95381,0.956140350877193,5
SLC39A7+ctrl,0.055861518,0.97273177,0.9982456140350877,5
SEC63+ctrl,0.06410176,0.97899866,0.9964912280701754,5
ASCC3+ctrl,0.28329384,0.86738485,0.9859649122807018,5
HSPA5+ctrl,0.8405084,0.6487825,0.7278195488721804,5
KCTD16+ctrl,0.07613643,0.99760324,0.9909774436090225,5
CHERP+ctrl,0.34834775,0.8672426,0.9035087719298246,5
AARS+ctrl,0.2207859,0.9750447,0.83859649122807,5
CARS+ctrl,0.23942856,0.98407096,0.8491228070175438,5
