,NormMSE,Pearson,Spearman,split
BHLHE40+ctrl,1.0442786,-0.1845464,0.9385964912280702,1
HARS+ctrl,0.058883,0.97607577,0.9719298245614034,1
ATP5B+ctrl,0.05898515,0.9860688,0.9631578947368421,1
DERL2+ctrl,0.060681712,0.9852482,0.9964912280701754,1
TELO2+ctrl,0.1734733,0.8229227,1.0,1
MRPL39+ctrl,0.12377656,0.9429299,0.9280701754385964,1
MANF+ctrl,0.0085834265,0.9966873,0.9982456140350877,1
TARS+ctrl,0.40542877,0.8230695,0.980701754385965,1
TTI1+ctrl,0.24498297,0.9366534,0.9666666666666668,1
SRP72+ctrl,0.08003866,0.9586953,0.9964912280701754,1
SCYL1+ctrl,0.5402993,0.8370277,0.9385964912280702,1
HYOU1+ctrl,0.16780367,0.89286655,0.9947368421052631,1
TMED10+ctrl,0.017491175,0.99488586,1.0,1
CCND3+ctrl,0.36408976,0.9316864,0.9789473684210527,1
COPB1+ctrl,0.05787359,0.9857414,0.9969924812030074,1
CARS+ctrl,0.18101472,0.9917406,0.8754385964912281,1
SPCS2+ctrl,0.05517897,0.966362,1.0,1
CREB1+ctrl,0.8562639,0.54423743,0.9578947368421054,2
SLMO2+ctrl,0.37442136,0.8822465,0.9403508771929823,2
TIMM23+ctrl,0.01710745,0.9923867,0.9947368421052631,2
AMIGO3+ctrl,0.06444553,0.979962,1.0,2
QARS+ctrl,0.18054491,0.9790323,0.9070175438596491,2
ATP5B+ctrl,0.038093507,0.98582286,0.975438596491228,2
SYVN1+ctrl,0.04159627,0.9831462,0.9982456140350877,2
MTHFD1+ctrl,0.3874564,0.7897647,0.8578947368421052,2
TTI1+ctrl,0.17376281,0.9711292,0.9649122807017543,2
SRP68+ctrl,0.07678441,0.9579835,1.0,2
TIMM44+ctrl,0.38304794,0.8562047,0.887719298245614,2
DDOST+ctrl,0.11325702,0.9780538,0.9719298245614034,2
TMED10+ctrl,0.015011054,0.995607,0.9982456140350877,2
DNAJC19+ctrl,0.14669012,0.98666465,0.9719298245614034,2
CARS+ctrl,0.29311156,0.9757693,0.8298245614035088,2
P4HB+ctrl,0.020357797,0.9902974,0.9982456140350877,2
SPCS2+ctrl,0.034456454,0.98688114,0.9982456140350877,2
OST4+ctrl,0.1822771,0.99409837,0.9947368421052631,3
EIF2B4+ctrl,0.055394053,0.97774184,0.9684210526315788,3
IER3IP1+ctrl,0.65330404,0.82672095,0.9,3
YIPF5+ctrl,0.18359153,0.9577594,0.9894736842105263,3
DAD1+ctrl,0.15940379,0.9869834,0.9736842105263157,3
SEL1L+ctrl,0.15778857,0.97764623,0.9729323308270676,3
TTI2+ctrl,0.031007553,0.97643137,0.9982456140350877,3
DERL2+ctrl,0.049342625,0.9823834,0.9964912280701754,3
SEC61B+ctrl,0.014089907,0.9932398,0.9982456140350877,3
EIF2B2+ctrl,0.030744687,0.9905477,0.9894736842105263,3
HSPA5+ctrl,0.9060678,0.64893186,0.6857142857142857,3
TIMM44+ctrl,0.32140934,0.88198376,0.8842105263157896,3
UFM1+ctrl,0.042945746,0.9908943,0.9982456140350877,3
SEC61G+ctrl,0.056046803,0.98919654,0.980701754385965,3
DNAJC19+ctrl,0.12092476,0.97983384,0.9789473684210527,3
TMED2+ctrl,0.08325917,0.9879324,0.9982456140350877,3
SPCS3+ctrl,0.054207996,0.9813092,0.9929824561403509,3
OST4+ctrl,0.02718269,0.9896694,0.9982456140350877,4
SEC61A1+ctrl,0.19683829,0.9669905,0.8596491228070176,4
AMIGO3+ctrl,0.025848283,0.98885626,0.9984962406015038,4
UFL1+ctrl,0.15444054,0.96720624,0.9649122807017543,4
DDRGK1+ctrl,0.06372876,0.9593277,0.9859649122807018,4
MTHFD1+ctrl,0.37199843,0.8125774,0.8526315789473684,4
HSPA9+ctrl,0.44670972,0.8430303,0.8491228070175438,4
SEC61B+ctrl,0.06974607,0.97131,1.0,4
TARS+ctrl,0.58082783,0.7996037,0.9719298245614034,4
HSPA5+ctrl,0.8520609,0.7318242,0.7278195488721804,4
SRP68+ctrl,0.101494715,0.94574654,1.0,4
PTDSS1+ctrl,0.19415016,0.98646003,0.9912280701754386,4
HYOU1+ctrl,0.12569946,0.9627411,0.9894736842105263,4
SLC35B1+ctrl,0.04702564,0.9836666,1.0,4
UFM1+ctrl,0.04027113,0.98770046,0.9842105263157893,4
PPWD1+ctrl,0.20435587,0.9678642,0.987719298245614,4
TMED2+ctrl,0.036983646,0.997416,0.9982456140350877,4
HARS+ctrl,0.055278312,0.98988223,0.975438596491228,5
DAD1+ctrl,0.1566946,0.98580647,0.9719298245614034,5
IARS2+ctrl,0.023715118,0.9923465,0.9771929824561404,5
DDRGK1+ctrl,0.034870736,0.98924744,0.987719298245614,5
STT3A+ctrl,0.03675527,0.9817575,1.0,5
SAMM50+ctrl,0.055368785,0.99455845,0.9964912280701754,5
MRGBP+ctrl,0.76185066,0.6463707,0.9280701754385964,5
SYVN1+ctrl,0.08495149,0.98782665,0.9929824561403509,5
TMEM167A+ctrl,0.43745208,0.90248007,0.9385964912280702,5
SLC39A7+ctrl,0.041176047,0.9803091,0.9982456140350877,5
SEC63+ctrl,0.06381312,0.98354316,0.9964912280701754,5
ASCC3+ctrl,0.28741765,0.86644727,0.9859649122807018,5
HSPA5+ctrl,0.7518828,0.7238814,0.7308270676691728,5
KCTD16+ctrl,0.11710234,0.98945457,0.9864661654135337,5
CHERP+ctrl,0.4354975,0.8868166,0.8789473684210527,5
AARS+ctrl,0.12979981,0.9783715,0.8736842105263157,5
CARS+ctrl,0.2635876,0.9794103,0.8333333333333334,5
